date,prime_broker,ticker,name,country,sector,currency,price_local,price_usd,available_shares,borrow_rate_pct,htb_flag
3/6/25,Prime A,880 HK,SJM Holdings,HK,Financials,HKD,161.65,20.6714,2119747,5.25,N
3/6/25,Prime A,383220 KS,F&F Co,KR,Information Technology,KRW,28876,21.7932,665877,7.5,N
3/6/25,Prime B,383220 KS,F&F Co,KR,Information Technology,KRW,28876,21.7932,1595260,6,N
3/6/25,Prime A,377300 KS,Kakao Pay,KR,Information Technology,KRW,67244,50.7502,1721360,0.25,N
3/6/25,Prime B,377300 KS,Kakao Pay,KR,Information Technology,KRW,67244,50.7502,386731,0.25,N
3/6/25,Prime C,880 HK,SJM Holdings,HK,Financials,HKD,161.65,20.6714,752719,5.25,N
3/6/25,Prime C,377300 KS,Kakao Pay,KR,Information Technology,KRW,67244,50.7502,1051096,0.25,N
3/6/25,Prime B,1102 TT,Asia Cement,TW,Information Technology,TWD,121.39,3.8173,81702,13.25,Y
3/6/25,Prime B,9531 JP,Tokyo Gas,JP,Industrials,JPY,21459,143.5385,746496,2.25,N
3/6/25,Prime C,9531 JP,Tokyo Gas,JP,Industrials,JPY,21459,143.5385,461793,2.25,N
3/6/25,Prime C,9503 JP,KEPCO,JP,Industrials,JPY,47734,319.291,2450721,1.75,N
3/6/25,Prime C,1102 TT,Asia Cement,TW,Information Technology,TWD,121.39,3.8173,54054,10.25,Y
3/6/25,Prime A,352820 KS,HYBE,KR,Communication Services,KRW,53379,40.286,106089,14.5,Y
3/6/25,Prime B,880 HK,SJM Holdings,HK,Financials,HKD,161.65,20.6714,2705866,4,N
3/6/25,Prime B,1802 JP,Obayashi,JP,Industrials,JPY,3477,23.2575,664398,7.5,N
3/6/25,Prime B,352820 KS,HYBE,KR,Communication Services,KRW,53379,40.286,148667,12.25,Y
3/6/25,Prime A,9503 JP,KEPCO,JP,Industrials,JPY,47734,319.291,1427394,1.5,N
3/6/25,Prime B,9503 JP,KEPCO,JP,Industrials,JPY,47734,319.291,2737451,1.5,N
3/6/25,Prime A,1802 JP,Obayashi,JP,Industrials,JPY,3477,23.2575,347584,5.75,N
3/6/25,Prime C,1802 JP,Obayashi,JP,Industrials,JPY,3477,23.2575,2218559,5.25,N
3/6/25,Prime A,1216 TT,Uni-President Enterprises,TW,Consumer Staples,TWD,295.78,9.3013,1844972,6.25,N
3/6/25,Prime C,352820 KS,HYBE,KR,Communication Services,KRW,53379,40.286,86545,9.5,Y
3/6/25,Prime A,1812 JP,Kajima,JP,Industrials,JPY,53236,356.0936,93812,8.75,Y
3/6/25,Prime C,9432 JP,NTT (Nippon Telegraph & Telephone),JP,Communication Services,JPY,49030,327.9599,2072468,1.25,N
3/6/25,Prime C,1812 JP,Kajima,JP,Industrials,JPY,53236,356.0936,894923,6.25,N
3/6/25,Prime A,9432 JP,NTT (Nippon Telegraph & Telephone),JP,Communication Services,JPY,49030,327.9599,556327,1,N
3/6/25,Prime B,1216 TT,Uni-President Enterprises,TW,Consumer Staples,TWD,295.78,9.3013,1123137,4,N
3/6/25,Prime B,9432 JP,NTT (Nippon Telegraph & Telephone),JP,Communication Services,JPY,49030,327.9599,1925582,1,N
3/6/25,Prime A,868 HK,Xinyi Glass Holdings,HK,Financials,HKD,64.68,8.2711,759074,1,N
3/6/25,Prime B,868 HK,Xinyi Glass Holdings,HK,Financials,HKD,64.68,8.2711,2255816,1,N
3/6/25,Prime B,1812 JP,Kajima,JP,Industrials,JPY,53236,356.0936,2029983,1,N
3/6/25,Prime C,868 HK,Xinyi Glass Holdings,HK,Financials,HKD,64.68,8.2711,1609355,1,N
3/6/25,Prime C,8630 JP,Sompo Holdings,JP,Financials,JPY,17755,118.7625,1151170,3.25,N
3/6/25,Prime B,8630 JP,Sompo Holdings,JP,Financials,JPY,17755,118.7625,112133,3,N
3/6/25,Prime C,1216 TT,Uni-President Enterprises,TW,Consumer Staples,TWD,295.78,9.3013,592813,1.75,N
3/6/25,Prime A,8630 JP,Sompo Holdings,JP,Financials,JPY,17755,118.7625,2515694,2.75,N
3/6/25,Prime A,2802 JP,Ajinomoto,JP,Industrials,JPY,909,6.0803,364942,7.75,N
3/6/25,Prime B,8454 TT,momo.com Inc.,TW,Information Technology,TWD,313.28,9.8516,2134303,2.75,N
3/6/25,Prime C,86 HK,Sun Hung Kai & Co.,HK,Financials,HKD,30.3,3.8747,273470,3.75,N
3/6/25,Prime A,86 HK,Sun Hung Kai & Co.,HK,Financials,HKD,30.3,3.8747,911635,3.25,N
3/6/25,Prime B,323410 KS,KakaoBank,KR,Information Technology,KRW,13741,10.3706,2688515,7.5,N
3/6/25,Prime C,323410 KS,KakaoBank,KR,Information Technology,KRW,13741,10.3706,1091608,4.75,N
3/6/25,Prime B,86 HK,Sun Hung Kai & Co.,HK,Financials,HKD,30.3,3.8747,792640,3.25,N
3/6/25,Prime C,8454 TT,momo.com Inc.,TW,Information Technology,TWD,313.28,9.8516,634947,2.75,N
3/6/25,Prime B,2802 JP,Ajinomoto,JP,Industrials,JPY,909,6.0803,2710651,2.25,N
3/6/25,Prime A,8454 TT,momo.com Inc.,TW,Information Technology,TWD,313.28,9.8516,2894357,2.5,N
3/6/25,Prime A,8411 JP,Mizuho Financial Group,JP,Financials,JPY,51410,343.8796,1041252,1.5,N
3/6/25,Prime B,8411 JP,Mizuho Financial Group,JP,Financials,JPY,51410,343.8796,204481,1.25,N
3/6/25,Prime A,323410 KS,KakaoBank,KR,Information Technology,KRW,13741,10.3706,2659672,3,N
3/6/25,Prime C,2802 JP,Ajinomoto,JP,Industrials,JPY,909,6.0803,865420,2.25,N
3/6/25,Prime A,2914 JP,Japan Tobacco,JP,Consumer Staples,JPY,27378,183.1304,148145,14.5,Y
3/6/25,Prime C,1303 TT,Nan Ya Plastics,TW,Materials,TWD,282.41,8.8808,375834,6.75,N
3/6/25,Prime B,2914 JP,Japan Tobacco,JP,Consumer Staples,JPY,27378,183.1304,132445,14,Y
3/6/25,Prime B,1303 TT,Nan Ya Plastics,TW,Materials,TWD,282.41,8.8808,1745189,6.25,N
3/6/25,Prime A,1303 TT,Nan Ya Plastics,TW,Materials,TWD,282.41,8.8808,1751878,5.5,N
3/6/25,Prime A,1326 TT,Formosa Chemicals & Fibre,TW,Materials,TWD,289.59,9.1066,756124,0.25,N
3/6/25,Prime A,316140 KS,Woori Financial Group,KR,Financials,KRW,27023,20.3947,1969294,7.5,N
3/6/25,Prime C,8411 JP,Mizuho Financial Group,JP,Financials,JPY,51410,343.8796,133481,1,N
3/6/25,Prime C,2914 JP,Japan Tobacco,JP,Consumer Staples,JPY,27378,183.1304,79962,12.25,Y
3/6/25,Prime A,3382 JP,7-Eleven,JP,Consumer Staples,JPY,6404,42.8361,311500,0.25,N
3/6/25,Prime B,1326 TT,Formosa Chemicals & Fibre,TW,Materials,TWD,289.59,9.1066,2440372,0.25,N
3/6/25,Prime B,3382 JP,7-Eleven,JP,Consumer Staples,JPY,6404,42.8361,1094791,0.25,N
3/6/25,Prime C,3382 JP,7-Eleven,JP,Consumer Staples,JPY,6404,42.8361,1007813,0.25,N
3/6/25,Prime C,316140 KS,Woori Financial Group,KR,Financials,KRW,27023,20.3947,1554647,3,N
3/6/25,Prime A,836 HK,China Resources Power Holdings,HK,Financials,HKD,275.16,35.1867,1253384,2.5,N
3/6/25,Prime C,836 HK,China Resources Power Holdings,HK,Financials,HKD,275.16,35.1867,1789843,2.5,N
3/6/25,Prime C,1326 TT,Formosa Chemicals & Fibre,TW,Materials,TWD,289.59,9.1066,2756469,0.25,N
3/6/25,Prime B,836 HK,China Resources Power Holdings,HK,Financials,HKD,275.16,35.1867,2370633,2.25,N
3/6/25,Prime B,8308 JP,Resona Holdings,JP,Industrials,JPY,37845,253.1438,1373530,6.5,N
3/6/25,Prime A,1402 TT,Far Eastern New Century,TW,Consumer Discretionary,TWD,139.68,4.3925,1467679,0.25,N
3/6/25,Prime C,8308 JP,Resona Holdings,JP,Industrials,JPY,37845,253.1438,1497062,4.5,N
3/6/25,Prime A,83 HK,Sino Land,HK,Real Estate,HKD,181.28,23.1816,2194733,5,N
3/6/25,Prime B,1402 TT,Far Eastern New Century,TW,Consumer Discretionary,TWD,139.68,4.3925,1860186,0.25,N
3/6/25,Prime C,1402 TT,Far Eastern New Century,TW,Consumer Discretionary,TWD,139.68,4.3925,540120,0.25,N
3/6/25,Prime A,8308 JP,Resona Holdings,JP,Industrials,JPY,37845,253.1438,1623620,2.75,N
3/6/25,Prime B,8058 JP,Mitsubishi Corporation,JP,Industrials,JPY,5126,34.2876,1891755,6.75,N
3/6/25,Prime A,282330 KS,BGF Retail,KR,Information Technology,KRW,40974,30.9238,2078709,6.75,N
3/6/25,Prime B,4063 JP,Shin-Etsu Chemical,JP,Materials,JPY,22798,152.495,1920179,7.25,N
3/6/25,Prime B,282330 KS,BGF Retail,KR,Information Technology,KRW,40974,30.9238,1517139,2.75,N
3/6/25,Prime A,4063 JP,Shin-Etsu Chemical,JP,Materials,JPY,22798,152.495,1945924,5.25,N
3/6/25,Prime A,1434 TT,Formosa Taffeta,TW,Information Technology,TWD,344.98,10.8484,189437,17.75,Y
3/6/25,Prime B,1434 TT,Formosa Taffeta,TW,Information Technology,TWD,344.98,10.8484,82737,13.25,Y
3/6/25,Prime C,282330 KS,BGF Retail,KR,Information Technology,KRW,40974,30.9238,464804,2.5,N
3/6/25,Prime C,4063 JP,Shin-Etsu Chemical,JP,Materials,JPY,22798,152.495,1956031,4.75,N
3/6/25,Prime A,272210 KS,Hanwha Systems,KR,Information Technology,KRW,103491,78.1064,1972608,0.25,N
3/6/25,Prime A,4091 JP,Nippon Sanso,JP,Industrials,JPY,14305,95.6856,187432,0.25,N
3/6/25,Prime C,272210 KS,Hanwha Systems,KR,Information Technology,KRW,103491,78.1064,896169,0.25,N
3/6/25,Prime A,8058 JP,Mitsubishi Corporation,JP,Industrials,JPY,5126,34.2876,744567,4.75,N
3/6/25,Prime B,4091 JP,Nippon Sanso,JP,Industrials,JPY,14305,95.6856,2237076,0.25,N
3/6/25,Prime C,4091 JP,Nippon Sanso,JP,Industrials,JPY,14305,95.6856,1263349,0.25,N
3/6/25,Prime C,83 HK,Sino Land,HK,Real Estate,HKD,181.28,23.1816,771140,3.5,N
3/6/25,Prime C,8058 JP,Mitsubishi Corporation,JP,Industrials,JPY,5126,34.2876,2391418,4.25,N
3/6/25,Prime B,83 HK,Sino Land,HK,Real Estate,HKD,181.28,23.1816,582977,1.5,N
3/6/25,Prime B,8046 TT,Nan Ya PCB,TW,Information Technology,TWD,372.08,11.7006,1712000,4.75,N
3/6/25,Prime A,8046 TT,Nan Ya PCB,TW,Information Technology,TWD,372.08,11.7006,21605,3,N
3/6/25,Prime C,1434 TT,Formosa Taffeta,TW,Information Technology,TWD,344.98,10.8484,4609,9.5,Y
3/6/25,Prime A,1590 TT,AirTAC International,TW,Industrials,TWD,390.04,12.2654,1753755,8,Y
3/6/25,Prime C,1590 TT,AirTAC International,TW,Industrials,TWD,390.04,12.2654,1330793,5.25,N
3/6/25,Prime B,1590 TT,AirTAC International,TW,Industrials,TWD,390.04,12.2654,1205537,1,N
3/6/25,Prime B,267260 KS,HD Hyundai Electric,KR,Information Technology,KRW,15581,11.7592,37655,8.75,Y
3/6/25,Prime C,2002A TT,China Steel,TW,Information Technology,TWD,477.91,15.0286,1963871,6.75,N
3/6/25,Prime C,267260 KS,HD Hyundai Electric,KR,Information Technology,KRW,15581,11.7592,187517,8.5,Y
3/6/25,Prime A,267260 KS,HD Hyundai Electric,KR,Information Technology,KRW,15581,11.7592,111752,6,N
3/6/25,Prime C,8046 TT,Nan Ya PCB,TW,Information Technology,TWD,372.08,11.7006,2709863,3,N
3/6/25,Prime A,263750 KS,Pearl Abyss,KR,Information Technology,KRW,27976,21.114,1983297,4,N
3/6/25,Prime B,8015 JP,Toyota Tsusho,JP,Industrials,JPY,53803,359.8863,835655,0.75,N
3/6/25,Prime A,823 HK,Link REIT,HK,Real Estate,HKD,269.34,34.4425,1273140,0.25,N
3/6/25,Prime B,823 HK,Link REIT,HK,Real Estate,HKD,269.34,34.4425,345985,0.25,N
3/6/25,Prime B,263750 KS,Pearl Abyss,KR,Information Technology,KRW,27976,21.114,59085,4.5,N
3/6/25,Prime C,4452 JP,Kao,JP,Consumer Staples,JPY,38292,256.1338,1820465,7.5,N
3/6/25,Prime B,2002A TT,China Steel,TW,Information Technology,TWD,477.91,15.0286,2556960,5.75,N
3/6/25,Prime C,263750 KS,Pearl Abyss,KR,Information Technology,KRW,27976,21.114,2492415,4,N
3/6/25,Prime C,823 HK,Link REIT,HK,Real Estate,HKD,269.34,34.4425,1416365,0.25,N
3/6/25,Prime A,259960 KS,Krafton,KR,Information Technology,KRW,106398,80.3004,144914,3.5,N
3/6/25,Prime B,259960 KS,Krafton,KR,Information Technology,KRW,106398,80.3004,1917855,3,N
3/6/25,Prime B,4452 JP,Kao,JP,Consumer Staples,JPY,38292,256.1338,553356,7,N
3/6/25,Prime C,259960 KS,Krafton,KR,Information Technology,KRW,106398,80.3004,582553,2.25,N
3/6/25,Prime A,251270 KS,Netmarble,KR,Communication Services,KRW,43054,32.4936,712884,0.25,N
3/6/25,Prime A,4452 JP,Kao,JP,Consumer Staples,JPY,38292,256.1338,2769076,1.5,N
3/6/25,Prime B,251270 KS,Netmarble,KR,Communication Services,KRW,43054,32.4936,706806,0.25,N
3/6/25,Prime C,251270 KS,Netmarble,KR,Communication Services,KRW,43054,32.4936,1732180,0.25,N
3/6/25,Prime A,4502 JP,Takeda Pharmaceutical,JP,Health Care,JPY,31448,210.3545,2031676,0.25,N
3/6/25,Prime B,4502 JP,Takeda Pharmaceutical,JP,Health Care,JPY,31448,210.3545,2528200,0.25,N
3/6/25,Prime A,2002A TT,China Steel,TW,Information Technology,TWD,477.91,15.0286,1597055,4.75,N
3/6/25,Prime A,8 HK,PCCW,HK,Financials,HKD,185.88,23.7698,740189,0.25,N
3/6/25,Prime C,4502 JP,Takeda Pharmaceutical,JP,Health Care,JPY,31448,210.3545,2067275,0.25,N
3/6/25,Prime A,2201 TT,Yulon Motor Company,TW,Information Technology,TWD,382.75,12.0362,141105,9,Y
3/6/25,Prime B,2201 TT,Yulon Motor Company,TW,Information Technology,TWD,382.75,12.0362,172884,8.75,Y
3/6/25,Prime C,2201 TT,Yulon Motor Company,TW,Information Technology,TWD,382.75,12.0362,2090364,6,N
3/6/25,Prime C,247540 KS,Ecopro BM,KR,Information Technology,KRW,91885,69.3472,67005,9,Y
3/6/25,Prime B,4503 JP,Astellas Pharma,JP,Industrials,JPY,33094,221.3645,145393,8.5,Y
3/6/25,Prime C,4503 JP,Astellas Pharma,JP,Industrials,JPY,33094,221.3645,5652,8.5,Y
3/6/25,Prime B,8 HK,PCCW,HK,Financials,HKD,185.88,23.7698,2369815,0.25,N
3/6/25,Prime A,4503 JP,Astellas Pharma,JP,Industrials,JPY,33094,221.3645,422673,1.5,N
3/6/25,Prime C,8 HK,PCCW,HK,Financials,HKD,185.88,23.7698,2039894,0.25,N
3/6/25,Prime A,247540 KS,Ecopro BM,KR,Information Technology,KRW,91885,69.3472,46201,8.5,Y
3/6/25,Prime A,8015 JP,Toyota Tsusho,JP,Industrials,JPY,53803,359.8863,2447451,0.25,N
3/6/25,Prime A,778 HK,Fortune REIT,HK,Financials,HKD,241.39,30.8683,2729178,7.75,N
3/6/25,Prime B,778 HK,Fortune REIT,HK,Financials,HKD,241.39,30.8683,2052304,2.25,N
3/6/25,Prime C,778 HK,Fortune REIT,HK,Financials,HKD,241.39,30.8683,2394412,0.75,N
3/6/25,Prime B,247540 KS,Ecopro BM,KR,Information Technology,KRW,91885,69.3472,83093,3.25,N
3/6/25,Prime C,8015 JP,Toyota Tsusho,JP,Industrials,JPY,53803,359.8863,350584,0.25,N
3/6/25,Prime A,241560 KS,Doosan Bobcat,KR,Information Technology,KRW,19690,14.8604,2890274,0.25,N
3/6/25,Prime B,241560 KS,Doosan Bobcat,KR,Information Technology,KRW,19690,14.8604,148404,0.25,N
3/6/25,Prime C,8002 JP,Marubeni,JP,Industrials,JPY,33044,221.0301,217726,2.5,N
3/6/25,Prime A,8002 JP,Marubeni,JP,Industrials,JPY,33044,221.0301,925110,2.25,N
3/6/25,Prime A,4507 JP,Shionogi,JP,Industrials,JPY,42023,281.0903,171339,15,Y
3/6/25,Prime C,241560 KS,Doosan Bobcat,KR,Information Technology,KRW,19690,14.8604,290439,0.25,N
3/6/25,Prime B,8002 JP,Marubeni,JP,Industrials,JPY,33044,221.0301,126300,1.5,N
3/6/25,Prime B,8001 JP,Itochu Shoji,JP,Industrials,JPY,28573,191.1237,469489,3.5,N
3/6/25,Prime A,8001 JP,Itochu Shoji,JP,Industrials,JPY,28573,191.1237,271830,3,N
3/6/25,Prime C,4507 JP,Shionogi,JP,Industrials,JPY,42023,281.0903,30045,11.75,Y
3/6/25,Prime C,8001 JP,Itochu Shoji,JP,Industrials,JPY,28573,191.1237,2581489,0.5,N
3/6/25,Prime B,2303 TT,United Microelectronics,TW,Information Technology,TWD,204.25,6.423,2713391,2,N
3/6/25,Prime B,207940 KS,Samsung Biologics,KR,Health Care,KRW,70286,53.046,2164894,7.75,N
3/6/25,Prime C,207940 KS,Samsung Biologics,KR,Health Care,KRW,70286,53.046,238172,5.5,N
3/6/25,Prime A,207940 KS,Samsung Biologics,KR,Health Care,KRW,70286,53.046,277804,4.75,N
3/6/25,Prime A,71 HK,Miramar Hotel and Investment,HK,Financials,HKD,93.95,12.0141,41020,0.25,N
3/6/25,Prime A,2303 TT,United Microelectronics,TW,Information Technology,TWD,204.25,6.423,944639,1.25,N
3/6/25,Prime C,2303 TT,United Microelectronics,TW,Information Technology,TWD,204.25,6.423,1756449,1,N
3/6/25,Prime B,4507 JP,Shionogi,JP,Industrials,JPY,42023,281.0903,42390,9.5,Y
3/6/25,Prime A,7741 JP,Hoya,JP,Health Care,JPY,43100,288.2943,651744,1.5,N
3/6/25,Prime C,7741 JP,Hoya,JP,Health Care,JPY,43100,288.2943,989234,1.5,N
3/6/25,Prime B,7741 JP,Hoya,JP,Health Care,JPY,43100,288.2943,2491325,1.25,N
3/6/25,Prime A,196170 KS,Alteogen,KR,Information Technology,KRW,90040,67.9547,186246,16.5,Y
3/6/25,Prime C,196170 KS,Alteogen,KR,Information Technology,KRW,90040,67.9547,139706,15.25,Y
3/6/25,Prime B,71 HK,Miramar Hotel and Investment,HK,Financials,HKD,93.95,12.0141,882209,0.25,N
3/6/25,Prime C,71 HK,Miramar Hotel and Investment,HK,Financials,HKD,93.95,12.0141,304461,0.25,N
3/6/25,Prime B,196170 KS,Alteogen,KR,Information Technology,KRW,90040,67.9547,19887,9.75,Y
3/6/25,Prime A,69 HK,Shangri-La,HK,Financials,HKD,158.26,20.2379,782816,0.25,N
3/6/25,Prime C,2308 TT,Delta Electronics,TW,Information Technology,TWD,507.69,15.9651,123831,22.25,Y
3/6/25,Prime B,2308 TT,Delta Electronics,TW,Information Technology,TWD,507.69,15.9651,81833,19.75,Y
3/6/25,Prime B,4543 JP,Terumo,JP,Health Care,JPY,31855,213.0769,2987428,5.75,N
3/6/25,Prime A,181710 KS,NHN Corp,KR,Information Technology,KRW,43136,32.5555,2368475,0.25,N
3/6/25,Prime B,69 HK,Shangri-La,HK,Financials,HKD,158.26,20.2379,2640836,0.25,N
3/6/25,Prime A,2308 TT,Delta Electronics,TW,Information Technology,TWD,507.69,15.9651,57359,19.25,Y
3/6/25,Prime B,2311 TT,ASE Group,TW,Information Technology,TWD,520.19,16.3582,2549618,7.75,N
3/6/25,Prime B,181710 KS,NHN Corp,KR,Information Technology,KRW,43136,32.5555,906600,0.25,N
3/6/25,Prime C,69 HK,Shangri-La,HK,Financials,HKD,158.26,20.2379,45255,0.25,N
3/6/25,Prime C,762 HK,China Unicom,HK,Communication Services,HKD,164.25,21.0038,970921,3,N
3/6/25,Prime A,762 HK,China Unicom,HK,Communication Services,HKD,164.25,21.0038,2495860,1,N
3/6/25,Prime C,2311 TT,ASE Group,TW,Information Technology,TWD,520.19,16.3582,1555439,3.5,N
3/6/25,Prime C,181710 KS,NHN Corp,KR,Information Technology,KRW,43136,32.5555,649742,0.5,N
3/6/25,Prime B,7532 JP,Pan Pacific International Holdings,JP,Industrials,JPY,8748,58.5151,833584,2,N
3/6/25,Prime A,683 HK,Kerry Properties,HK,Financials,HKD,42.94,5.491,761837,0.25,N
3/6/25,Prime C,161390 KS,Hankook Tire,KR,Consumer Discretionary,KRW,95349,71.9615,2493808,5.75,N
3/6/25,Prime A,2311 TT,ASE Group,TW,Information Technology,TWD,520.19,16.3582,155753,3.25,N
3/6/25,Prime A,4543 JP,Terumo,JP,Health Care,JPY,31855,213.0769,405027,3.75,N
3/6/25,Prime C,4543 JP,Terumo,JP,Health Care,JPY,31855,213.0769,1118831,0.5,N
3/6/25,Prime C,4568 JP,Daiichi Sankyo,JP,Health Care,JPY,52328,350.0201,120464,17.75,Y
3/6/25,Prime B,4568 JP,Daiichi Sankyo,JP,Health Care,JPY,52328,350.0201,20643,13.75,Y
3/6/25,Prime B,161390 KS,Hankook Tire,KR,Consumer Discretionary,KRW,95349,71.9615,846484,4.5,N
3/6/25,Prime B,683 HK,Kerry Properties,HK,Financials,HKD,42.94,5.491,855594,0.25,N
3/6/25,Prime C,683 HK,Kerry Properties,HK,Financials,HKD,42.94,5.491,2059569,0.25,N
3/6/25,Prime C,7532 JP,Pan Pacific International Holdings,JP,Industrials,JPY,8748,58.5151,1016426,2,N
3/6/25,Prime A,7532 JP,Pan Pacific International Holdings,JP,Industrials,JPY,8748,58.5151,2160255,1.75,N
3/6/25,Prime B,7269 JP,Suzuki Motor,JP,Industrials,JPY,14529,97.1839,2189347,3,N
3/6/25,Prime A,4568 JP,Daiichi Sankyo,JP,Health Care,JPY,52328,350.0201,50081,9.5,Y
3/6/25,Prime A,161390 KS,Hankook Tire,KR,Consumer Discretionary,KRW,95349,71.9615,1460716,3,N
3/6/25,Prime A,7269 JP,Suzuki Motor,JP,Industrials,JPY,14529,97.1839,1854204,2.75,N
3/6/25,Prime C,4578 JP,Otsuka Holdings,JP,Health Care,JPY,37022,247.6388,1369140,7.75,N
3/6/25,Prime B,4578 JP,Otsuka Holdings,JP,Health Care,JPY,37022,247.6388,2651807,4.5,N
3/6/25,Prime A,138040 KS,Meritz Financial Group,KR,Financials,KRW,5617,4.2392,1073096,0.25,N
3/6/25,Prime B,138040 KS,Meritz Financial Group,KR,Financials,KRW,5617,4.2392,2047053,0.25,N
3/6/25,Prime C,7269 JP,Suzuki Motor,JP,Industrials,JPY,14529,97.1839,1133298,2.75,N
3/6/25,Prime A,669 HK,Techtronic Industries,HK,Financials,HKD,69.84,8.9309,181811,9,Y
3/6/25,Prime C,669 HK,Techtronic Industries,HK,Financials,HKD,69.84,8.9309,2296625,7,N
3/6/25,Prime B,669 HK,Techtronic Industries,HK,Financials,HKD,69.84,8.9309,2306021,6.5,N
3/6/25,Prime A,7013 JP,IHI Corporation,JP,Industrials,JPY,35231,235.6589,1156398,7.75,N
3/6/25,Prime A,4578 JP,Otsuka Holdings,JP,Health Care,JPY,37022,247.6388,742670,4.25,N
3/6/25,Prime A,4661 JP,Oriental Land,JP,Consumer Discretionary,JPY,54965,367.6589,314060,0.25,N
3/6/25,Prime B,4661 JP,Oriental Land,JP,Consumer Discretionary,JPY,54965,367.6589,2284518,0.25,N
3/6/25,Prime C,138040 KS,Meritz Financial Group,KR,Financials,KRW,5617,4.2392,55151,0.25,N
3/6/25,Prime C,7013 JP,IHI Corporation,JP,Industrials,JPY,35231,235.6589,2477781,7,N
3/6/25,Prime C,4661 JP,Oriental Land,JP,Consumer Discretionary,JPY,54965,367.6589,1749277,0.25,N
3/6/25,Prime B,7013 JP,IHI Corporation,JP,Industrials,JPY,35231,235.6589,182853,1.25,N
3/6/25,Prime C,7011 JP,Mitsubishi Heavy Industries,JP,Industrials,JPY,22951,153.5184,101317,8.75,Y
3/6/25,Prime A,2327 TT,Yageo,TW,Information Technology,TWD,209.84,6.5987,1490503,0.25,N
3/6/25,Prime B,2327 TT,Yageo,TW,Information Technology,TWD,209.84,6.5987,45384,0.25,N
3/6/25,Prime A,7011 JP,Mitsubishi Heavy Industries,JP,Industrials,JPY,22951,153.5184,639549,5.75,N
3/6/25,Prime B,7011 JP,Mitsubishi Heavy Industries,JP,Industrials,JPY,22951,153.5184,1818621,2.75,N
